material_id,pretty_formula,primitive_formula,spacegroup,CrystalSystem,anonymized_formula
mp-5181,LuSnPd2,LuSnPd2,225,Cubic,ABC2
mp-568382,MnBi,Mn2Bi2,194,Hexagonal,AB
mp-20389,Na2CdPb,Na2CdPb,216,Cubic,ABC2
mp-1004,Nb3Si,Nb3Si,221,Cubic,AB3
mp-30580,SrGaCu2,SrGaCu2,166,Trigonal,ABC2
mp-30555,TaGaCo2,TaGaCo2,225,Cubic,ABC2
mp-2731,TiGa3,TiGa3,139,Tetragonal,AB3
mp-30493,ZnCdPt2,ZnCdPt2,123,Tetragonal,ABC2
mp-2510,ZrHg,ZrHg,123,Tetragonal,AB
mp-552674,ZrTaNO,ZrTaNO,187,Hexagonal,ABCD
mp-29241,Ca3SnO,Ca3SnO,221,Cubic,ABC3
mp-9570,CaCd2P2,CaCd2P2,164,Trigonal,AB2C2
mp-5452,CeCu2Si2,CeCu2Si2,139,Tetragonal,AB2C2
mp-3147,ErSi2Au2,ErSi2Au2,139,Tetragonal,AB2C2
mp-19183,Li2NiO2,Li2NiO2,71,Orthorhombic,AB2C2
mp-13405,LuMn2Ge2,LuMn2Ge2,139,Tetragonal,AB2C2
mp-454,NaGa4,NaGa4,139,Tetragonal,AB4
mp-1827,SrGa4,SrGa4,139,Tetragonal,AB4
mp-30805,SrNiSn3,SrNiSn3,107,Tetragonal,ABC3
mp-1071272,CeAl2BRu2,CeAl2BRu2,123,Tetragonal,ABC2D2
mp-6258,CeCr2Si2C,CeCr2Si2C,123,Tetragonal,ABC2D2
mp-20237,CoNiSn,Co2Ni2Sn2,194,Hexagonal,ABC
mp-12743,CrTe4Au,CrTe4Au,10,Monoclinic,ABC4
mp-1071835,DyCu2,Dy2Cu4,74,Orthorhombic,AB2
mp-2740,ErCo5,ErCo5,191,Hexagonal,AB5
mp-570875,Ga2Os,Ga4Os2,70,Orthorhombic,AB2
mp-861,Hf2Ni,Hf4Ni2,140,Tetragonal,AB2
mp-6794,LaB2Rh2C,LaB2Rh2C,139,Tetragonal,ABC2D2
mp-3676,MgCu4Sn,MgCu4Sn,216,Cubic,ABC4
mp-30587,MgInCu4,MgInCu4,216,Cubic,ABC4
mp-7524,NbPSe,Nb2P2Se2,71,Orthorhombic,ABC
mp-2129,NdGe2,Nd2Ge4,141,Tetragonal,AB2
mp-6140,PrNi2B2C,PrNi2B2C,139,Tetragonal,ABC2D2
mp-1566,SmFe5,SmFe5,191,Hexagonal,AB5
mp-2067,ThGa2,Th2Ga4,141,Tetragonal,AB2
mp-2387,Th2Zn,Th4Zn2,140,Tetragonal,AB2
mp-2178,YbGa2,Yb2Ga4,194,Hexagonal,AB2
mp-1607,YbCu5,YbCu5,191,Hexagonal,AB5
mp-11533,ZrZnNi4,ZrZnNi4,216,Cubic,ABC4
mp-545788,Ba3ZnN2O,Ba3ZnN2O,123,Tetragonal,ABC2D3
mp-11435,ErTi2Ga4,ErTi2Ga4,139,Tetragonal,AB2C4
mp-13287,BaCuTeF,Ba2Cu2Te2F2,129,Tetragonal,ABCD
mp-7095,CeCoSi2,Ce2Co2Si4,63,Orthorhombic,ABC2
mp-1231,Cr3Ga,Cr6Ga2,223,Cubic,AB3
mp-7489,CsUF6,CsUF6,148,Trigonal,ABC6
mp-546790,LaCuTeO,La2Cu2Te2O2,129,Tetragonal,ABCD
mp-18745,LaMnSbO,La2Mn2Sb2O2,129,Tetragonal,ABCD
mp-12515,LaZnSbO,La2Zn2Sb2O2,129,Tetragonal,ABCD
mp-11251,Mg3Au,Mg6Au2,194,Hexagonal,AB3
mp-11396,NdGa2Ni,Nd2Ga4Ni2,65,Orthorhombic,ABC2
mp-9761,ReO3,Re2O6,182,Hexagonal,AB3
mp-20349,SmFeAsO,Sm2Fe2As2O2,129,Tetragonal,ABCD
mp-2231,SnS,Sn4S4,62,Orthorhombic,AB
mp-12444,SrCuSF,Sr2Cu2S2F2,129,Tetragonal,ABCD
mp-20807,SrFeAsF,Sr2Fe2As2F2,129,Tetragonal,ABCD
mp-30682,ZrGa,ZrGa,141,Tetragonal,AB
mp-19118,BaNd2CoO5,BaNd2CoO5,71,Orthorhombic,ABC2D5
mp-5615,CaAgAs,Ca3Ag3As3,189,Hexagonal,ABC
mp-30733,HoSnPt,Ho3Sn3Pt3,189,Hexagonal,ABC
mp-16747,LuAgPb,Lu3Ag3Pb3,189,Hexagonal,ABC
mp-13171,YMgCu,Y3Mg3Cu3,189,Hexagonal,ABC
mp-23127,Ba2BiSbO6,Ba2BiSbO6,12,Monoclinic,ABC2D6
mp-6231,Ba2ErSbO6,Ba2ErSbO6,225,Cubic,ABC2D6
mp-21348,Ba2EuTaO6,Ba2EuTaO6,87,Tetragonal,ABC2D6
mp-10731,Ba2PrSbO6,Ba2PrSbO6,225,Cubic,ABC2D6
mp-13356,Ba2SrTeO6,Ba2SrTeO6,148,Trigonal,ABC2D6
mp-19093,Ba2UNiO6,Ba2UNiO6,225,Cubic,ABC2D6
mp-19751,Ba2YbNbO6,Ba2YbNbO6,225,Cubic,ABC2D6
mp-15888,Ba2YIrO6,Ba2YIrO6,225,Cubic,ABC2D6
mp-6428,Ba2YRuO6,Ba2YRuO6,225,Cubic,ABC2D6
mp-19274,BaPrMn2O6,BaPrMn2O6,123,Tetragonal,ABC2D6
mp-1111927,K2LiCrF6,K2LiCrF6,225,Cubic,ABC2D6
mp-1111671,K2LiInF6,K2LiInF6,225,Cubic,ABC2D6
mp-6586,K2NaAlF6,K2NaAlF6,225,Cubic,ABC2D6
mp-24412,K2NaAlH6,K2NaAlH6,225,Cubic,ABC2D6
mp-6686,K2NaInF6,K2NaInF6,225,Cubic,ABC2D6
mp-9349,KRb2ScF6,KRb2ScF6,225,Cubic,ABC2D6
mp-1080753,NaPb2IO6,NaPb2IO6,225,Cubic,ABC2D6
mp-1114630,Rb3PrCl6,Rb3PrCl6,225,Cubic,AB3C6
mp-2128,Sn4Pd,Sn8Pd2,68,Orthorhombic,AB4
mp-16307,Sr2MgIrO6,Sr2MgIrO6,225,Cubic,ABC2D6
mp-1208467,Tb4Al,Tb8Al2,227,Cubic,AB4
mp-19227,YMnO3,Y2Mn2O6,194,Hexagonal,ABC3
mp-9812,ZnCO3,Zn2C2O6,167,Trigonal,ABC3
mp-550722,Ba2Tl2CuO6,Ba2Tl2CuO6,139,Tetragonal,AB2C2D6
mp-6628,CsCdN3O6,CsCdN3O6,146,Trigonal,ABC3D6
mp-7550,CeNbO4,Ce2Nb2O8,15,Monoclinic,ABC4
mp-11658,Cu2SnSe3,Cu4Sn2Se6,9,Monoclinic,AB2C3
mp-11449,HfMn2,Hf4Mn8,194,Hexagonal,AB2
mp-23550,KBrF4,K2Br2F8,140,Tetragonal,ABC4
mp-9666,K2NaGaP2,K4Na2Ga2P4,72,Orthorhombic,ABC2D2
mp-23126,KAs4IO6,KAs4IO6,191,Hexagonal,ABC4D6
mp-1095437,LuSeO3F,Lu2Se2O6F2,11,Monoclinic,ABCD3
mp-640079,Mn3Au,Mn9Au3,123,Tetragonal,AB3
mp-1102067,PuSn2,Pu4Sn8,141,Tetragonal,AB2
mp-12931,SmTaO4,Sm2Ta2O8,13,Monoclinic,ABC4
mp-1102049,TaBe3,Ta3Be9,166,Trigonal,AB3
mp-1102936,Ta2Fe,Ta8Fe4,193,Hexagonal,AB2
mp-1095641,Tb5S7,Tb5S7,12,Monoclinic,A5B7
mp-19418,VCrO4,V2Cr2O8,63,Orthorhombic,ABC4
mp-2451,YAl3,Y3Al9,166,Trigonal,AB3
mp-29225,Al4Cu2O7,Al4Cu2O7,216,Cubic,A2B4C7
mp-1104454,Ta4GaTe4Se4,Ta4GaTe4Se4,216,Cubic,AB4C4D4
mp-12570,ThB12,ThB12,225,Cubic,AB12
mp-1103888,YbB12,YbB12,225,Cubic,AB12
mp-9705,Ba4NaB3N6,Ba4NaB3N6,229,Cubic,AB3C4D6
mp-476,Ge3N4,Ge6N8,227,Cubic,A3B4
mp-14466,KLi6IrO6,KLi6IrO6,166,Trigonal,ABC6D6
mp-1105001,Tm3Pt4,Tm6Pt8,148,Trigonal,A3B4
mp-1104457,Eu3Au2,Eu9Au6,148,Trigonal,A2B3
mp-1104286,Ge4Rh,Ge12Rh3,152,Trigonal,AB4
mp-726253,RbLi3S2O9,RbLi3S2O9,1,Triclinic,AB2C3D9
mp-7913,BeSiN2,Be4Si4N8,33,Orthorhombic,ABC2
mp-1105802,CaGe2Pt,Ca4Ge8Pt4,71,Orthorhombic,ABC2
mp-1106406,Ce2SnS5,Ce4Sn2S10,55,Orthorhombic,AB2C5
mp-1106310,Cu2SiHgS4,Cu4Si2Hg2S8,31,Orthorhombic,ABC2D4
mp-23520,InPb2I5,In2Pb4I10,140,Tetragonal,AB2C5
mp-1106395,Pr3Ir,Pr12Ir4,62,Orthorhombic,AB3
mp-23667,RbPH2O4,Rb2P2H4O8,43,Orthorhombic,ABC2D4
mp-1106349,SmPd3S4,Sm2Pd6S8,223,Cubic,AB3C4
mp-1105958,Yb3Co,Yb12Co4,62,Orthorhombic,AB3
mp-1105386,YbH3CN3,Yb2H6C2N6,176,Hexagonal,ABC3D3
mp-1106327,Co4NiSb12,Co4NiSb12,204,Cubic,AB4C12
mp-651268,Fe2Cu6SnS8,Fe2Cu6SnS8,115,Tetragonal,AB2C6D8
mp-1106064,Ho4Ga12Ni,Ho4Ga12Ni,229,Cubic,AB4C12
mp-1106196,Lu4Ga12Ni,Lu4Ga12Ni,229,Cubic,AB4C12
mp-1106117,La5AgPb3,La10Ag2Pb6,193,Hexagonal,AB3C5
mp-2233097,MgV4SnO12,MgV4SnO12,5,Monoclinic,ABC4D12
mp-1106402,Rb2TiOF5,Rb4Ti2O2F10,63,Orthorhombic,ABC2D5
mp-1105110,Sr2Bi2Se3O2,Sr4Bi4Se6O4,14,Monoclinic,A2B2C2D3
mp-1106245,Zr5AlSb3,Zr10Al2Sb6,193,Hexagonal,AB3C5
mp-557997,CaSeO3,Ca4Se4O12,14,Monoclinic,ABC3
mp-1106325,CaCu3Pt4O12,CaCu3Pt4O12,204,Cubic,AB3C4D12
mp-1106150,CeMn4Cu3O12,CeMn4Cu3O12,204,Cubic,AB3C4D12
mp-1105955,Er3Cu3Sb4,Er6Cu6Sb8,220,Cubic,A3B3C4
mp-1106004,HoFe4Cu3O12,HoFe4Cu3O12,204,Cubic,AB3C4D12
mp-27450,KCuCl3,K4Cu4Cl12,14,Monoclinic,ABC3
mp-1105893,La3Cu3Bi4,La6Cu6Bi8,220,Cubic,A3B3C4
mp-1106068,LaCr4Cu3O12,LaCr4Cu3O12,204,Cubic,AB3C4D12
mp-1105674,Mg2BeB2Ir5,Mg4Be2B4Ir10,127,Tetragonal,AB2C2D5
mp-1105109,PrCu3Ru4O12,PrCu3Ru4O12,204,Cubic,AB3C4D12
mp-1190213,ReB4,Re4B16,194,Hexagonal,AB4
mp-13383,ScAgP2Se6,Sc2Ag2P4Se12,163,Trigonal,ABC2D6
mp-1105777,U3Sb4Ir3,U6Sb8Ir6,220,Cubic,A3B3C4
mp-23125,K3NaFeCl6,K6Na2Fe2Cl12,167,Trigonal,ABC3D6
mp-5126,ZnSO4,Zn4S4O16,62,Orthorhombic,ABC4
mp-19140,K3MnO4,K3MnO4,121,Tetragonal,AB3C4
mp-1105290,Co3Sb4O6F6,Co3Sb4O6F6,217,Cubic,A3B4C6D6
